n;Время итерации, сек
1000;0.0009999275207519531
2000;0.003000020980834961
3000;0.005001068115234375
4000;0.00800180435180664
5000;0.013002872467041016
6000;0.0200045108795166
7000;0.03200721740722656
8000;0.047010183334350586
9000;0.06501483917236328
10000;0.056012630462646484
11000;0.08501911163330078
12000;0.10502362251281738
13000;0.1290292739868164
14000;0.14803290367126465
15000;0.18604183197021484
16000;0.16303658485412598
17000;0.2610595226287842
18000;0.30206823348999023
19000;0.34607720375061035
20000;0.4100923538208008
21000;0.46210384368896484
22000;0.3270759582519531
23000;0.5911316871643066
24000;0.42409706115722656
25000;0.7351653575897217
26000;0.4250943660736084
27000;0.7651729583740234
28000;0.9342103004455566
29000;1.0132286548614502
30000;1.0502371788024902
31000;1.0612397193908691
32000;1.0752413272857666
33000;1.072242259979248
34000;1.0752429962158203
35000;1.0932462215423584
36000;1.082245111465454
37000;1.0972468852996826
38000;1.1032490730285645
39000;1.2852895259857178
40000;1.462329626083374
41000;1.3983154296875
42000;1.4293229579925537
43000;1.6503734588623047
44000;1.5453484058380127
45000;1.7013835906982422
46000;1.9664440155029297
47000;2.0704660415649414
48000;2.1354823112487793
49000;2.11447811126709
50000;2.1444833278656006
51000;2.1834919452667236
52000;2.1624882221221924
53000;2.3135225772857666
54000;2.598586082458496
55000;2.3995418548583984
56000;2.844641923904419
57000;2.6215925216674805
58000;2.7456185817718506
59000;3.066693067550659
60000;3.099700450897217
61000;3.2197258472442627
62000;3.1417102813720703
63000;3.2667367458343506
64000;3.3737618923187256
65000;3.7228410243988037
66000;3.564804792404175
67000;3.8338656425476074
68000;4.042912244796753
69000;4.182944297790527
70000;4.401994228363037
71000;4.334979295730591
72000;4.990126609802246
73000;4.911108016967773
74000;4.820089340209961
75000;4.976123809814453
76000;5.20417594909668
77000;5.295170783996582
78000;6.046366214752197
79000;5.793308258056641
80000;6.03136134147644
81000;5.879327774047852
82000;6.61949348449707
83000;6.378439664840698
84000;6.903559923171997
85000;6.6575026512146
86000;7.768406867980957
87000;6.944568634033203
88000;7.990804672241211
89000;7.324652910232544
90000;8.315877199172974
91000;8.003807544708252
92000;9.242087125778198
93000;8.41189956665039
94000;9.404123544692993
95000;8.9760262966156
96000;9.54515528678894
97000;9.257089853286743
98000;10.153292179107666
99000;9.665182113647461
100000;10.88526964187622
101000;10.396190881729126
102000;11.161520957946777
103000;10.698414325714111
104000;11.969702959060669
105000;11.48559308052063
106000;12.048720121383667
107000;11.880682706832886
108000;12.86390471458435
109000;12.347787141799927
110000;13.21498417854309
111000;12.721871852874756
112000;13.574064254760742
113000;13.457038640975952
114000;14.12919020652771
115000;13.992159128189087
116000;14.269222259521484
117000;14.46526551246643
118000;14.643306255340576
119000;15.118414163589478
120000;15.49149775505066
121000;15.40547776222229
122000;16.226663827896118
123000;16.114638566970825
124000;16.199657440185547
125000;16.56574034690857
126000;16.935823917388916
127000;17.40993070602417
128000;17.316909551620483
129000;18.27812695503235
130000;17.994062662124634
131000;18.38715124130249
132000;18.46916937828064
133000;18.945277452468872
134000;19.418384075164795
135000;19.42538571357727
136000;19.707449674606323
137000;20.119542837142944
138000;22.160002946853638
139000;20.970555067062378
140000;22.35504698753357
141000;22.60310459136963
142000;23.39330744743347
143000;22.97518754005432
144000;23.98843741416931
145000;23.978392362594604
146000;24.714580535888672
147000;24.56854557991028
148000;26.54699397087097
149000;25.761816024780273
150000;26.228922605514526
151000;26.70902967453003
152000;27.638240575790405
153000;27.816279888153076
154000;28.5594482421875
155000;28.419417142868042
156000;29.876744985580444
157000;29.529667139053345
158000;29.962764739990234
159000;30.424869537353516
160000;31.32007145881653
161000;31.907203435897827
162000;33.945663928985596
163000;31.84319043159485
164000;34.21372437477112
165000;34.0496871471405
166000;34.899879455566406
167000;34.876874923706055
168000;35.99212670326233
169000;35.66305112838745
170000;37.12238144874573
171000;37.266414165496826
172000;38.19390082359314
173000;38.42769169807434
174000;39.399895668029785
175000;39.35588502883911
176000;39.59093952178955
177000;40.35011029243469
178000;42.310553550720215
179000;41.857450008392334
180000;42.75566244125366
181000;42.039491415023804
182000;43.15974450111389
183000;42.34155988693237
184000;45.16819787025452
185000;44.54005670547485
186000;45.621299266815186
187000;578.1064386367798
188000;44.64708065986633
189000;45.82934641838074
190000;46.07640361785889
191000;46.34146308898926
192000;47.428709268569946
193000;47.848801136016846
194000;48.65798568725586
195000;49.053075313568115
196000;51.21556305885315
197000;50.73545432090759
198000;51.215564250946045
199000;51.32458710670471
200000;52.79692053794861
