n;Время итерации, сек;Время рекурсии, сек
1;0;0
2;0;0
3;0;0
4;0;0
5;0;0
6;0;0
7;0;0
8;0;0
9;0;0
10;0;0
11;0;0
12;0;0
13;0;0
14;0;0
15;0;0
16;0;0
17;0;0
18;0;0,000999928
19;0;0,001999617
20;0;0,00200057
21;0;0,003000498
22;0;0,005001307
23;0;0,008000851
24;0;0,013003111
25;0;0,021004915
26;0;0,036006927
27;0;0,05701375
28;0;0,091020346
29;0;0,146031857
30;0;0,238054037
31;0;0,385087252
32;0;0,624140501
33;0;1,007227898
34;0;1,634368658
35;0;2,639596224
36;0;4,285966873
37;0;6,887555361
38;0;11,22853518
39;0;18,09408498
40;0;29,22259784
41;0;47,34568858
42;0;76,59729314
43;0;124,1820374
44;0;204,3231316
45;0;331,2097785
